product_name,amazon,flipkart,reliance,chroma
Oneplus 12R,45998,45000,45999,45999
Oneplus 12,69999,60387,69999,69999
Oneplus 11 R,SOLD OUT,44999,34999,32999
Oneplus CE 4,24998,23962,24999,24999
Oneplus Nord 3,SOLD OUT,SOLD OUT,27999,SOLD OUT
Oneplus 4,32999,SOLD OUT,32999,SOLD OUT
