product_name,amazon,flipkart,reliance,chroma
Samsung Galaxy S24 Ultra (5G),129999,129999,129999,129999
Samsung Galaxy S23,46990,55999,64999,58999
Samsung Galaxy S21 FE,29999,49999,57999,41999
Samsung Galaxy A15,19499,22449,22499,19499
Samsung Galaxy F34,17499,16499,SOLD OUT,SOLD OUT
Samsung Galaxy M34,16999,22999,SOLD OUT,SOLD OUT
